,mu11,mu21,mu22,mu31,mu41,mu42,sigma11,sigma12,sigma13,sigma14,sigma21,sigma22,sigma23,sigma24,sigma31,sigma32,sigma33,sigma34,sigma41,sigma42,sigma43,sigma44,time,loss
0,0.7031947,2.04079981,1.46887379,0.78885964,1.23055125,1.17554605,0.2750774,0.09031319,0.03155526,0.01913851,0.69075707,0.46569279,0.35758179,0.09123215,0.0689112,0.34705292,0.29508755,0.38894835,0.04943566,0.41453387,0.25865392,0.31903723,59502.0,1709.701696030673
1,0.80576041,2.02007171,1.14842618,0.81186437,1.52903609,1.1531214,0.211731,0.04296148,0.0739663,0.10364812,0.27858416,0.45299249,0.35895549,0.13105576,0.04439494,0.24701762,0.16308933,0.17028933,0.45009895,0.24416365,0.28848833,0.49625427,63891.0,1618.682110720961
2,0.73577541,1.98710636,1.33564985,0.99233052,2.35078399,2.20295573,0.2381447,0.09685901,0.04819008,0.04141015,0.15142126,0.41165989,0.23601997,0.30708437,0.00972522,0.17737125,0.17765835,0.10779416,0.83915242,0.71942267,1.46693475,0.50061605,64804.0,1623.0160259837307
3,0.50752894,1.44002642,1.38468855,0.78321932,1.50592324,0.89103127,0.41230779,0.0592868,0.07759147,0.12990472,0.18557623,0.15804646,0.41694304,0.12830817,0.04806754,0.26570084,0.09848923,0.07773201,0.11267846,0.12230519,0.48149,0.21555243,67570.0,1548.67388314522
4,0.62961749,1.55865803,1.65363745,0.19094495,0.2894193,3.5089395,0.16731566,0.32122426,0.13261107,0.03495552,0.42989584,0.73600171,0.43586767,0.71742967,0.47381936,0.40314918,0.49368562,0.47578489,0.34551208,0.70073266,0.42375154,0.2352323,67437.0,1747.167488038115
5,0.65558935,2.25196347,2.36530552,0.68458641,1.67490258,1.62837706,0.35591432,0.07085663,0.19038219,0.02918917,0.26865306,0.19163712,0.49119304,0.42297939,0.03171754,0.22033045,0.17062466,0.22834684,0.31981762,0.54013957,0.27766731,0.40499994,28763.0,1569.1662622363135
6,0.74304805,2.27690728,2.69794513,0.65163971,1.95507088,2.14300757,0.34604483,0.14602599,0.08698657,0.04853889,0.47286116,0.18115032,0.22174932,0.49993268,0.07491497,0.03929278,0.29107979,0.17419724,0.25332366,0.49876807,0.45853123,0.46564007,32053.0,1549.1216992045463
7,0.75879977,1.80945494,1.41863817,0.71799797,1.67183726,1.07719655,0.30006995,0.0682878,0.08371706,0.05126845,0.60319979,0.23128052,0.15752239,0.51357426,0.0257194,0.17767804,0.14177161,0.19984703,0.16343998,0.11644194,0.26939304,0.44361078,58949.0,1550.5458991747414
8,0.58863529,1.86081016,1.381966,0.46177562,1.118784,2.5465444,0.26470018,0.12804674,0.17890407,0.07094293,0.18882203,0.28711882,0.32916986,0.17236262,0.42213329,0.45099298,0.23466798,0.24595092,0.46513373,0.4276496,0.62525799,0.64736216,54172.0,1762.080101350079
9,0.86366995,2.12093756,1.21091725,1.00187006,1.6039286,0.85051122,0.24138189,0.03400557,0.02186543,0.06176868,0.27754124,0.19010885,0.41728326,0.51931873,0.04181546,0.18076077,0.13889993,0.0706862,0.21410219,0.14211922,0.09896038,0.49601627,62385.0,1543.1824763603006
10,0.68373935,1.98593063,1.64671788,0.92493819,1.83453727,1.17291935,0.26864253,0.04850135,0.16283963,0.18319336,0.27592542,0.37515885,0.36505593,0.29678035,0.02503902,0.27620129,0.02823441,0.11371129,0.48041078,0.26079551,0.4737787,0.27975167,65285.0,1595.391721627709
11,0.54387124,1.35200775,2.03931906,0.85491013,1.89343194,2.65669167,0.44882404,0.08612056,0.31064442,0.23261136,0.48483631,0.31285592,0.54077237,0.48189914,0.03522311,0.46655651,0.04102348,0.50225028,0.44351555,0.35184264,0.15752905,0.29610427,29065.0,1774.56562448726
12,0.47624524,1.55725903,1.63196037,0.43036777,1.35198275,1.40827289,0.31537132,0.03202456,0.20788898,0.01699026,0.51845864,0.63686995,0.41308296,0.31996319,0.03123078,0.24376127,0.27042476,0.14579485,0.71146274,0.34162275,0.52822897,0.27910523,57535.0,1675.9224632001055
13,0.75885432,1.59464583,0.91517137,0.75600255,1.08927867,2.13196036,0.15756429,0.13092905,0.07178802,0.24706449,0.11112101,0.28379437,0.48443152,0.22418968,0.3429933,0.15692018,0.44757336,0.06496961,0.80394476,0.71906731,0.48273507,0.42336049,66030.0,1690.679584227575
14,0.60973837,1.66533043,1.3297739,0.3390322,0.37194303,2.42458608,0.25996105,0.14265738,0.08928417,0.18267495,0.69131259,0.52136507,0.40991101,0.4744417,0.3971389,0.35848183,0.63092832,0.36536833,0.47042169,0.5900743,0.42785483,0.47515942,29736.0,1828.7222819406036
15,0.49641982,1.8118652,1.28218714,0.43327981,0.96634188,1.83780299,0.13334283,0.2469254,0.04689409,0.03494822,0.50540037,0.23528084,0.49716752,0.45351615,0.48376787,0.22997311,0.41639305,0.44153945,0.15615449,0.72046033,0.48149315,0.2256284,64673.0,1784.017919805582
16,0.54810886,1.74781787,1.60515208,0.74025337,1.12877327,2.77256019,0.31895977,0.15315848,0.18651063,0.13432505,0.21073654,0.41345156,0.40963753,0.44551578,0.25397751,0.50005786,0.41387929,0.42009217,0.75730286,0.23055332,0.50753349,0.46248574,64934.0,1798.4736457087288
17,0.80236908,1.98682181,1.28671502,0.4227677,1.06721059,1.55297411,0.14981961,0.14717382,0.17975719,0.08193357,0.23077867,0.27593494,0.17251586,0.44718864,0.37408211,0.09761376,0.14198836,0.50429845,0.2928303,0.75438859,0.45792042,0.43241207,58271.0,1760.1933688212234
18,0.66071961,1.67879402,1.65532371,0.42836107,1.41767267,1.96197884,0.21712158,0.13784863,0.0082288,0.17615779,0.3459823,0.45700313,0.08603997,0.4831758,0.04811733,0.17578488,0.37808076,0.37109523,0.15425958,0.40376565,0.15762935,0.2573426,28547.0,1647.8533885977638
19,0.76530752,2.03087233,1.8290742,0.66801981,1.27142531,1.2113513,0.3167459,0.03037129,0.00332316,0.13468035,0.32228354,0.52726773,0.73279236,0.45630501,0.07935922,0.16067787,0.33361525,0.24165132,0.2532,0.21015964,0.74883778,0.63774298,78129.0,1705.1883278778607
20,0.71449956,2.02789906,1.79394278,0.48095627,0.67051105,0.92695629,0.24041732,0.13026768,0.04418415,0.16421776,0.23746895,0.37089952,0.40983199,0.71216608,0.07708034,0.43478379,0.42038828,0.10898586,0.48332794,0.52868518,0.18576938,0.57059761,58032.0,1760.830670166552
21,0.79794999,1.88749227,1.66114744,0.76286003,1.35441304,1.21976672,0.22582838,0.01348398,0.21355961,0.11631713,0.47795406,0.22542116,0.45264405,0.53665252,0.19303069,0.31345382,0.10072411,0.26595917,0.14094305,0.23477195,0.1522413,0.10255723,62294.0,1678.452931775574
22,0.47353964,1.69329533,1.90154241,0.77640069,1.74048174,1.65598137,0.31334038,0.17791264,0.01507965,0.05814042,0.30226282,0.28300474,0.69906594,0.34838436,0.03711874,0.17541407,0.28212585,0.17576015,0.31436309,0.6021075,0.78921881,0.69158535,60184.0,1675.1278337008823
23,0.6975661,1.56138479,1.31195268,0.95090652,1.33500661,1.09388675,0.28989353,0.1157734,0.10980949,0.12962128,0.31464837,0.83145791,0.91844936,0.52698417,0.11231859,0.31325618,0.36408024,0.11770682,0.45960839,0.14257905,0.27826475,0.22270285,64709.0,1860.3319112328984
24,0.96984687,1.74232165,2.05137169,0.94389476,2.21024305,2.29367951,0.30152482,0.07488121,0.08938694,0.21937435,0.76809932,0.4765053,1.46789592,0.81483167,0.01794927,0.31837521,0.17948433,0.19236535,0.19861691,0.20476528,0.15872651,0.50704102,30619.0,1753.5517608828086
25,0.9768232,1.86064196,0.92981507,0.69657861,1.1535292,2.25734383,0.15466622,0.05738357,0.25899461,0.11864589,0.26476317,0.19607641,0.17631752,0.29600671,0.5385453,0.60269815,0.0574274,0.39806674,0.13468098,0.34549506,0.24329239,0.43880184,55870.0,1814.9884947637984
26,0.73252374,1.65020923,1.61804466,1.03495704,2.13976218,1.41764405,0.34743932,0.04636393,0.04860724,0.28436536,0.47685474,0.19875729,0.24808709,0.17742129,0.12361387,0.22198814,0.13135856,0.02783431,0.78329303,0.29776635,0.28675549,0.7841219,61705.0,1702.22019951758
27,0.39959427,0.97627009,2.31768333,0.41354147,1.35676422,2.2007708,0.48697853,0.09322874,0.35708786,0.23092487,0.47123888,0.47802886,0.64172447,0.4234986,0.16365006,0.43699791,0.22782964,0.05994661,0.35887301,0.21192127,0.12933863,1.01542372,27471.0,1707.0501062449289
28,0.72379974,1.94475335,1.52902528,0.53830222,1.36560481,1.06912198,0.20014275,0.07819439,0.19873875,0.20495361,0.17653108,0.24398854,0.51420944,0.42754936,0.14294123,0.43314001,0.08970915,0.03955651,0.25380474,0.55919047,0.44387285,0.72866953,66857.0,1745.6912594236032
29,0.50554044,1.4640469,1.28336132,0.87194115,1.17528335,1.99390896,0.25557077,0.23455453,0.0231575,0.03222741,0.1557502,0.47526106,0.60214514,0.43566414,0.25230576,0.12914156,0.46242193,0.39907575,0.61135892,0.31803978,0.29786458,0.48759528,55130.0,1742.4805238941076
30,0.76495958,1.60406124,1.62014674,0.30479485,1.5860144,1.97157481,0.27296653,0.17415941,0.16189578,0.24401052,0.10591052,0.16791562,0.17568308,0.28888833,0.35922697,0.33607046,0.4409797,0.24629613,0.15968172,0.44226262,0.3840858,0.2405818,60456.0,1903.751810115094
31,0.73698039,1.51737625,0.85234434,0.72539164,1.86366812,1.39798808,0.26141025,0.0362305,0.10728189,0.10164399,0.1017675,0.14325297,0.40630233,0.16775401,0.01309637,0.23897757,0.0716866,0.12114432,0.19127202,0.75599793,0.52200175,0.15967473,64105.0,1567.565248030899
32,0.44822575,1.59440537,1.27808166,0.79501102,2.04333014,1.74565804,0.27858292,0.08325559,0.13032713,0.03620504,0.39190686,0.17815429,0.29182989,0.54215257,0.01015369,0.2461113,0.16031653,0.19776807,0.31384068,0.27246439,0.79688738,0.56463895,56747.0,1633.8071455751465
33,0.70236189,1.88742641,1.40818459,0.44330921,1.70260732,1.24580932,0.25913904,0.10414751,0.07333102,0.07107639,0.16966234,0.32075316,0.1253706,0.45869957,0.0279976,0.25444825,0.22382831,0.1272686,0.35796684,0.45257096,0.18319113,0.70110341,61773.0,1645.2421750351311
34,0.85002032,1.82354276,1.24616772,0.51422879,1.71178253,1.21093745,0.25773186,0.10298235,0.14559459,0.05171022,0.42689816,0.60533814,0.72778454,0.22364416,0.09139882,0.21815467,0.17838962,0.16570389,0.27344746,0.33382369,0.45581041,0.63660608,64676.0,1791.518134935316
35,0.43504065,1.8207461,1.84274077,0.59793919,1.65655426,1.84948976,0.28957503,0.0648342,0.18427968,0.13371098,0.2257265,0.19120164,0.32388642,0.48390784,0.04100492,0.39785148,0.18288867,0.10674648,0.10524413,0.12846992,0.04344089,0.49810258,51703.0,1561.882445539909
36,0.6732977,1.88515152,1.61976045,0.69201971,1.56587966,1.1352017,0.30132556,0.06762176,0.09148796,0.03384291,0.27688203,0.75960995,0.40846918,0.73763732,0.07205164,0.27776736,0.2441674,0.18186994,0.41921349,0.75514594,0.41746614,0.1213824,66217.0,1767.890046376201
37,0.85331692,2.10457822,1.61159533,0.56139789,1.9083352,1.47436007,0.29816821,0.08581489,0.08265345,0.10585737,0.30120214,0.39548491,0.36177178,0.15890547,0.0108597,0.22080101,0.13413312,0.16192482,0.1875953,0.38854831,0.46349241,0.34866788,54344.0,1568.583055981896
38,0.71791531,1.37306272,1.1884469,0.53305159,1.43355283,1.14417126,0.23700545,0.27964498,0.03915225,0.06830122,0.2783075,0.55350555,0.18439067,0.08483582,0.17534998,0.06756091,0.27084749,0.08571159,0.39439158,0.24154337,0.47356026,0.44702723,53485.0,1658.406921207266
39,0.5675028,1.75349633,1.13232083,0.83628919,1.56933604,1.06987513,0.26844,0.06747945,0.02331116,0.14799732,0.1843829,0.27302243,0.52066041,0.14145672,0.04985374,0.20233362,0.22242955,0.15515233,0.44886281,0.40935277,0.49884099,0.32987697,64349.0,1670.9013308804974
40,0.84939955,1.59387529,1.81099882,0.66795386,0.57406972,5.51022159,0.2808827,0.27426187,0.14553321,0.1313967,0.4030665,0.28176983,0.2000747,0.20229631,0.67970801,0.45437527,0.72948555,0.54960388,0.57911913,0.19263274,0.29022714,0.44124513,78045.0,1703.1108016182093
41,0.75989586,2.00317181,1.63846744,0.58459619,1.61353079,2.01420217,0.24723374,0.10660188,0.02337187,0.19037788,0.30975688,0.11328914,0.18301347,0.38381451,0.08597184,0.34097045,0.31133193,0.05491849,0.54796101,0.48806048,0.41999558,0.79339405,60798.0,1595.688306798907
42,0.5778655,1.8424482,1.75915487,0.66698829,1.8789031,1.97221786,0.30794134,0.03835427,0.13751451,0.06686878,0.70431785,0.39180867,0.37571225,0.49568501,0.01512683,0.28762812,0.27272575,0.21568136,0.64028879,0.08751457,0.40118955,0.69849296,30443.0,1669.3973495966666
43,0.87290849,1.61064101,0.88388267,0.81387625,1.6123821,1.38953262,0.27138725,0.07272955,0.03299847,0.07302965,0.24720136,0.20617704,0.18265992,0.21894737,0.046881,0.22946277,0.24905327,0.19325652,0.5484442,0.42255245,0.79847868,0.15453907,68472.0,1614.5236634348678
44,0.66578006,2.103338,2.16570908,0.49858622,2.67882538,3.71058287,0.27971907,0.04822002,0.22030686,0.14507009,0.37602088,0.20190849,0.40825068,0.49627845,0.0615681,0.34871265,0.0402845,0.2444786,0.49911454,0.16863408,0.29277535,0.32323956,76009.0,1560.7545557521455
45,0.79820697,2.381966,1.58778181,0.74358715,1.53204952,1.02005406,0.24568388,0.04298472,0.05013307,0.09700183,0.15166652,0.72771758,0.54972544,0.22839825,0.02542761,0.16186975,0.22233053,0.04638508,0.31144338,0.20037804,0.5067265,0.73005584,62979.0,1614.939759417469
46,0.49634533,1.36889216,3.37745252,0.98243455,2.13727713,1.57058225,0.53513794,0.22618573,0.47382823,0.42591311,0.18895532,0.18080115,0.40086196,0.40490814,0.01514261,0.27132844,0.05951049,0.05900879,0.18617594,0.81633933,0.78111932,0.40501928,29086.0,1685.6139697302578
47,0.78841212,1.28391013,1.27158689,0.52111033,1.8831937,2.08191237,0.31579491,0.03022468,0.22940268,0.3376836,0.31054397,0.22929256,0.1428249,0.46305847,0.06089897,0.2846304,0.07122112,0.14425106,0.71738232,0.49048619,0.39996192,0.58331229,37593.0,1730.755057330444
48,0.50036377,1.62931899,1.07691814,0.68549103,1.05235769,1.09944896,0.27601128,0.0863583,0.12453631,0.10204481,0.32293771,0.68968955,0.57867764,0.47818353,0.04240163,0.25860761,0.24654003,0.39624851,0.4289856,0.50160273,0.2862581,0.58665307,66135.0,1821.6521070430151
49,0.6564295,1.10160515,3.35091663,0.57761936,0.42193551,0.756631,0.6395994,0.52461535,0.23790647,0.08291222,0.28760316,0.65966642,0.35343076,0.21832619,0.13650521,0.43298682,0.50865783,0.38916457,0.18659034,0.32782056,0.67518378,0.34421247,31435.0,1820.6939399616756
50,0.79250745,2.2236113,1.68589339,0.64935429,1.67694076,1.21523547,0.21729953,0.0175941,0.13222471,0.04947681,0.50343724,0.19578974,0.30420018,0.43727012,0.05866732,0.2439308,0.17185317,0.21011435,0.28321687,0.22645935,0.47766977,0.16923736,61798.0,1589.5787126135976
51,0.51284557,1.85256202,1.35824759,0.64303457,1.91218973,1.87826553,0.20194613,0.04617678,0.15457194,0.17780781,0.44438751,0.3523818,0.31046763,0.45280352,0.0281313,0.38666587,0.06254361,0.10168314,0.20837376,0.56786855,0.46231996,0.19042754,32922.0,1608.494212385075
52,0.79451189,1.9487166,1.65713085,0.71643691,1.64315853,1.16720147,0.21489689,0.08598303,0.02889148,0.08020541,0.79477597,0.76970723,0.35395694,0.48363191,0.04559181,0.19596441,0.20475586,0.17346343,0.44916873,0.15687442,0.53157543,0.6568579,65561.0,1700.9984419361826
53,0.70769639,1.87051508,1.72751284,0.78527712,1.90515352,1.65893685,0.29819575,0.03014555,0.15866528,0.20431428,0.40474631,0.4650264,0.38329146,0.3877304,0.18501347,0.34293665,0.19965186,0.1002683,0.42756034,0.14710612,0.41463623,0.1673743,65630.0,1748.206298368698
54,0.78965982,1.62309292,0.92305941,0.74063062,1.64201789,1.67320817,0.23206088,0.07455921,0.11798302,0.01673868,0.4341307,0.46764598,0.2505501,0.41704634,0.03983929,0.28004687,0.03987271,0.19597632,0.78880991,0.81548067,0.28334018,0.3024679,62516.0,1619.7925409879815
55,0.47800826,1.56230732,1.22516574,0.68011803,1.50067856,1.09495353,0.2760127,0.12040855,0.02827054,0.03196127,0.2843486,0.57054327,0.28819121,0.42108159,0.01543277,0.22514234,0.2328328,0.10064992,0.3276759,0.26236189,0.18413577,0.69458523,66302.0,1600.142257248957
56,0.7831315,1.8017339,1.42850687,0.62841162,1.62419875,1.54084067,0.26536424,0.05183825,0.05735563,0.03669241,0.17962538,0.41787236,0.12134305,0.34618558,0.04712966,0.3026276,0.19167942,0.17664181,0.45893051,0.39945189,0.33675741,0.14375175,65079.0,1556.1696524759382
57,0.46115807,1.59394103,1.64460957,0.61795466,1.53558526,1.75369566,0.31778433,0.26216029,0.01223159,0.11464152,0.5688795,0.27526916,0.46148882,0.39855377,0.1683692,0.39758747,0.3970415,0.42442902,0.47098962,0.24497563,0.56595247,0.40625426,36447.0,1935.7689113755032
58,0.65098612,1.66459397,1.47014245,0.32860843,1.12024114,2.62849482,0.19521188,0.00940764,0.24646096,0.18546805,0.49550452,0.18091356,0.37760582,0.64945611,0.11116608,0.48369872,0.32801791,0.45570959,0.28619721,0.38347408,0.54477015,0.43247314,32660.0,1744.0224478259086
59,0.4622664,1.65019626,1.62783723,0.38759708,1.65359682,1.99285277,0.29162273,0.1468975,0.04896419,0.22845372,0.43702511,0.43452222,0.39371906,0.44071643,0.26247728,0.35195381,0.43471118,0.09347304,0.24749914,0.40182966,0.41878039,0.4262204,61937.0,1793.5533599107853
60,0.62167653,1.47153614,2.06901326,0.71763014,0.79305976,0.78033644,0.39251396,0.18080457,0.38788422,0.16109307,0.27306116,0.48713841,0.21292955,0.26984309,0.25323988,0.33456028,0.03641802,0.42626348,0.50783759,0.25921319,0.52140873,0.42941548,28999.0,1848.602821177439
61,0.76346527,1.82151132,1.28589849,0.44858832,1.29702693,1.29183426,0.21535307,0.03014328,0.11358774,0.11631083,0.52978809,0.16789174,0.37223705,0.15240397,0.03505886,0.27824164,0.22887044,0.1199099,0.55419292,0.22387382,0.39557813,0.9253803,65105.0,1673.6570320892706
62,0.55075175,1.79175588,1.40165343,0.80435072,1.5468153,1.36486481,0.24965449,0.04020833,0.05345712,0.18861649,0.26012988,0.46901345,0.50643988,0.70831159,0.06321768,0.29212255,0.27544422,0.091819,0.30480525,0.33135399,0.17688782,0.20878466,62357.0,1618.07077072598
63,0.97416638,1.77180302,1.08952077,0.50738246,0.68931089,1.49553006,0.0361631,0.13247119,0.20815905,0.10542489,0.80736067,0.45356005,0.48045443,0.59335147,0.39037347,0.43740749,0.27703033,0.42184661,0.53959833,0.61826115,0.27090804,0.51259597,69415.0,1924.819903333536
64,0.76160438,1.66814,0.80037545,0.68828213,1.3920749,1.95624948,0.1427428,0.02445797,0.09647998,0.19918998,0.34991345,0.18313109,0.24881668,0.39206798,0.42604616,0.45339949,0.11076562,0.06617535,0.23169261,0.5818398,0.12198952,0.50507721,62826.0,1683.4539879088454
65,0.51195397,0.94715429,2.22127,0.62241147,1.52400184,2.24081479,0.5708478,0.0817031,0.12629387,0.27786136,0.39872503,0.65163779,0.50272638,0.44989438,0.08155098,0.52085745,0.4057668,0.309461,0.43081136,0.19915764,0.53227558,0.78948391,33055.0,1855.198807441112
66,0.79971506,1.7475302,1.58834377,0.74115652,1.91386622,1.54731798,0.30292188,0.05099652,0.08548304,0.1954318,0.61130184,0.10249147,0.59216389,0.1396787,0.05850587,0.28059228,0.05754204,0.06787476,0.32638136,0.86458882,0.46737744,0.51015137,63578.0,1588.6814765060942
67,0.67271261,2.00001082,1.50612767,0.70667747,2.02049056,1.34421524,0.23960616,0.05198865,0.00535158,0.17888578,0.1919808,0.43509574,0.40893163,0.16443673,0.04457073,0.10280781,0.16358524,0.05704984,0.25890512,0.19260686,0.41321307,0.26089729,64304.0,1513.5449267890165
68,0.58317368,2.20958732,2.17238577,1.12306783,1.98142753,0.90707326,0.12562529,0.14274935,0.28640756,0.05992787,0.47504967,0.15105855,0.67525965,0.54551471,0.05172021,0.17542857,0.0222119,0.11963135,0.27432806,0.42774382,0.51823239,0.28506601,33028.0,1626.7718921991088
69,0.56124382,1.77242561,2.24179067,0.66418946,0.66927901,3.71917029,0.39680523,0.16241556,0.25660976,0.05767051,0.298788,0.26540852,0.14796886,0.55827042,0.66324153,0.78524019,0.51964626,0.34614807,0.44208804,0.30234923,0.55668024,0.73734731,30192.0,1853.4094678006643
70,0.65310052,1.64448098,2.76760559,0.7936511,1.76239712,1.38364672,0.43044272,0.10599179,0.05018245,0.39680672,0.54919377,0.5199547,0.32017046,0.22974176,0.02188322,0.2156708,0.25462892,0.08749682,0.22471007,0.24896639,0.09796986,0.74070736,34772.0,1627.449963363125
71,0.72502939,1.51353699,1.88554168,0.71832257,2.31685236,2.84828242,0.44731589,0.01931619,0.08281134,0.38888809,0.10312317,0.18323318,0.59393504,0.32550704,0.18418251,0.32416728,0.13069834,0.0826435,0.63009032,0.63973797,0.18201231,0.72996509,34293.0,1701.8378392077432
72,0.88589844,1.31156271,1.22757833,0.48106114,0.95172082,1.16647892,0.20450567,0.25730838,0.11691835,0.10246307,0.55080478,0.248182,0.28447399,0.26394705,0.0361266,0.05384219,0.39149884,0.35071892,0.56040762,0.45671945,0.16446626,0.57180042,37595.0,1749.3812144002022
73,0.4715417,1.63011919,1.15603506,0.79647732,1.844682,1.3016046,0.29562766,0.05867374,0.04583696,0.08084694,0.14953844,0.40683037,0.27286812,0.27201912,0.0269655,0.17434102,0.22018438,0.12334463,0.30680049,0.1575346,0.17772069,0.57035139,56249.0,1540.925577081056
74,0.94152754,1.75547433,1.61616036,1.02618584,2.10889427,1.53545448,0.3386467,0.01148145,0.14807712,0.02658527,0.0310908,0.3996981,0.28928364,0.40014022,0.09629165,0.25957829,0.00938125,0.09275529,0.08042261,0.34142413,0.43302124,0.12909783,27514.0,1554.7440490781769
75,0.79573413,1.80682508,1.6933798,0.9078183,1.64764639,1.64113408,0.31717611,0.05399497,0.0507358,0.1642837,0.4789256,0.49154153,0.12818933,0.35828154,0.0076386,0.30748055,0.05855288,0.17139448,0.6086529,1.5076469,0.6282144,0.38332144,59490.0,1679.6078807293563
76,0.3695635,1.69689171,1.75836359,0.62049093,1.8392188,1.5024526,0.30164113,0.22776084,0.20893111,0.05048838,0.25272862,0.13406998,0.28520897,0.15220551,0.14286052,0.23578915,0.20395272,0.29093239,0.73628852,0.31641902,0.58547339,0.49286687,25023.0,1778.6957914860632
77,0.5896589,1.44584423,1.12235774,0.70203428,1.96529244,1.90312995,0.28723393,0.04971856,0.06818128,0.17120403,0.19501488,0.71957149,0.55621869,0.5011271,0.07369882,0.30688074,0.09329243,0.10779664,0.25147371,0.28062336,0.45668702,0.58259301,36011.0,1687.34281478425
78,0.55845495,1.30226671,1.18347645,0.3695017,1.26645186,1.40041318,0.26751202,0.2721953,0.04795189,0.15599022,0.80150037,0.26885283,0.56293781,0.08598624,0.01803688,0.21201548,0.43432539,0.13806057,0.21701375,0.28056776,0.44006523,0.49522636,62377.0,1752.1171427096615
79,0.91381068,1.52123889,1.0670658,0.73698847,1.37878721,0.96841481,0.24296013,0.09259545,0.06412503,0.01716042,0.45057203,0.11642262,0.20895607,0.57394189,0.07906992,0.19842638,0.12663176,0.25057545,0.42218849,0.46254138,0.40063427,0.16413948,62146.0,1660.4458207224193
80,0.32638438,0.21219786,1.08085886,0.4781117,0.82933799,1.3341313,0.1477873,0.29432462,0.12580037,0.26670463,0.60240979,0.35343428,0.30643427,0.76102835,0.43091448,0.15314896,0.32737482,0.19365932,0.24696483,0.44156246,0.62001533,0.19252164,32145.0,1742.835658093828
81,0.4818814,1.81835105,2.0514451,0.81683639,1.56007654,1.63852823,0.32825294,0.08308118,0.15872926,0.06694616,0.54156605,0.31669262,0.35679542,0.53124364,0.04230376,0.36624963,0.16467868,0.0380111,0.15902017,0.29478464,0.36064347,0.61105566,28207.0,1600.1614560997702
82,0.74837042,2.23361229,1.73955101,0.68051427,1.61273962,2.00125691,0.26669908,0.05513328,0.06505982,0.0297363,0.50128734,0.788327,0.56877344,0.51006502,0.04039493,0.35787566,0.29900987,0.28259767,0.5654574,0.28188779,0.49282713,0.55812627,61133.0,1681.1440114962245
83,0.26630335,1.21218164,0.95995005,0.7833192,1.66895292,0.89992228,0.34580709,0.08175302,0.15295076,0.19562512,0.34041947,0.17464779,0.25854948,0.58249958,0.04539447,0.16138174,0.27538745,0.06892525,0.34425228,0.39028984,0.43751982,0.60515636,61559.0,1811.243392007954
84,0.79528165,1.81838142,2.18068423,0.76436409,1.79255506,1.61381139,0.37029784,0.07918129,0.23567206,0.39712124,0.43668584,0.05457146,0.46159266,0.27079921,0.10928137,0.26072459,0.11708335,0.07529852,0.38084284,0.37604174,0.94577522,0.74673784,61921.0,1758.7443434851346
