,mu11,mu21,mu22,mu31,mu41,mu42,sigma11,sigma12,sigma13,sigma14,sigma21,sigma22,sigma23,sigma24,sigma31,sigma32,sigma33,sigma34,sigma41,sigma42,sigma43,sigma44,time,loss
85,0.77990638,2.03959843,1.58107438,0.77840925,2.0066599,1.63068108,0.26077057,0.07809922,0.11460054,0.0084441,0.36713306,0.5887714,0.26808495,0.06113123,0.03474524,0.26279118,0.07457429,0.14998722,0.52748396,0.41864287,0.59244965,0.51552951,58871.0,1574.3225771888558
86,1.04601399,1.93735762,1.30803142,0.489797,1.14644911,1.39723112,0.2493461,0.045098,0.08882658,0.12280125,0.31410329,0.36753336,0.72749694,0.48284849,0.11530413,0.32766892,0.34405057,0.1790712,0.71025599,0.66295256,0.24389854,0.5921987,58032.0,1755.3837163091491
87,0.59106962,1.41702781,1.40414664,0.75366241,1.46596985,1.42315505,0.30315692,0.04780093,0.24766844,0.3108857,0.41380678,0.37516561,0.30454879,0.52322762,0.17778429,0.35483723,0.060572,0.16595264,0.15624783,0.30036311,0.23561229,0.39006505,63466.0,1775.8952618771852
88,0.97335974,1.69575981,1.06617669,0.69681866,1.85007277,1.62231337,0.23973788,0.03237038,0.10122079,0.12369615,0.25506165,0.54305733,0.29536563,0.25021762,0.05084496,0.31203915,0.08388788,0.17579037,0.59417332,0.2096081,0.46607066,0.20141147,26313.0,1634.1846688362468
89,0.44610857,1.54420477,1.41041687,0.82515077,2.19362344,1.18583721,0.3523337,0.08450535,0.07575191,0.08374496,0.27781561,0.22345341,0.15021969,0.45633409,0.06259657,0.20772631,0.06532364,0.17612315,0.0979531,0.30139463,0.31010433,0.24971739,61930.0,1589.6261232305842
90,0.70943429,1.63195007,2.14347785,0.81159831,1.34751187,1.61813576,0.41769222,0.04272616,0.13210919,0.1724027,0.40274379,0.38513824,0.72860081,0.6570095,0.23326659,0.42913636,0.16170034,0.24290533,0.54932563,0.40238012,0.52545768,0.25137806,55964.0,1900.678714386163
91,0.47876116,1.2302698,1.08849113,0.51784453,1.18885253,1.13378493,0.28829236,0.02187977,0.11017098,0.13789079,0.34471368,0.54133705,0.50517388,0.18715966,0.40663484,0.42484436,0.43406625,0.15127597,0.44547603,0.42163028,0.42536307,0.40213749,59056.0,2041.750245650411
92,0.49400138,1.76166713,1.51655058,1.02907505,2.21514639,1.20352279,0.2864941,0.11879546,0.06694425,0.14968105,0.22917261,0.45260579,0.16024068,0.55211586,0.0217506,0.15672324,0.1730597,0.06562076,0.1194864,0.35763977,0.52658381,0.44668623,58317.0,1615.3141950033214
93,1.14672239,1.92130986,0.94863489,0.95946162,1.50414835,1.41884762,0.15993314,0.01703752,0.0983989,0.10950441,0.17201606,0.39460168,0.47919497,0.2626284,0.15441843,0.42292837,0.21604298,0.02071729,0.44008222,0.77353768,0.40629493,0.44852405,24702.0,1708.8950271584022
94,0.47321446,1.5062305,1.27000318,0.73616108,1.96929964,1.34425313,0.33080105,0.08583481,0.12684361,0.03686429,0.50414748,0.47774735,0.42355053,0.71248759,0.02136332,0.18249452,0.18130585,0.08770786,0.38954707,0.2307615,0.33661848,0.28652198,59603.0,1638.174168953061
95,0.7848232,2.00400327,1.34216507,0.6979088,1.5303133,1.05549482,0.2723406,0.07254996,0.05632926,0.08984661,0.28982518,0.44716184,0.38411509,0.38507488,0.10704683,0.24316407,0.23895822,0.16807819,0.45076468,0.09571019,0.11848118,0.10192578,59415.0,1687.0379327063515
96,0.42468361,1.4068797,1.7911819,0.64459307,1.27429858,1.5595261,0.44559074,0.13688856,0.13062036,0.13465043,0.24478103,0.50678336,0.72765051,0.33637736,0.22836442,0.40402768,0.1965732,0.14382531,0.52750103,0.84299878,0.41762794,0.64335693,33618.0,1880.5924665916448
97,1.2526964,1.83275151,1.2071651,0.58683073,0.3741973,1.85927929,0.08875117,0.11902598,0.11430628,0.24990252,0.25213029,0.26275105,0.22575784,0.23800894,0.31337481,0.49333405,0.45536747,0.13601299,0.48587074,0.51595257,0.36405042,0.19983821,35506.0,1749.0247238461538
98,0.74374835,1.96079969,1.4679909,0.517293,1.7249352,1.57554761,0.24339716,0.14281348,0.03383311,0.17665577,0.41715401,0.70271947,0.18614369,0.1698984,0.02370533,0.32132675,0.22967848,0.09586719,0.10017027,0.26363987,0.40993437,0.13515019,78218.0,1631.5446085734732
99,0.41890391,1.09034302,1.48694876,0.83139124,1.18358237,1.07122859,0.48267949,0.05342105,0.28675352,0.06959079,0.53586052,0.40638666,0.43199287,0.48989485,0.10943427,0.34533205,0.1504888,0.18025078,0.35761057,0.47037038,0.7307735,0.85972719,37208.0,1810.4165137008424
100,0.56611734,1.62507655,2.59168954,0.66699961,2.82678006,4.88343284,0.39875611,0.0740761,0.22005489,0.20023219,0.20580037,0.25645925,0.64285878,0.13982706,0.07380859,0.5437705,0.11900099,0.23935939,0.64855561,0.43230963,0.79169285,0.62915729,45101.0,1625.000902549672
101,0.76795827,1.76536804,2.30398226,0.81878626,2.11199124,1.22167619,0.38488437,0.09996983,0.39707772,0.17532073,0.51272434,0.7324447,0.27121444,0.58791147,0.1646835,0.14823487,0.02209403,0.13654176,0.08568496,0.41364438,0.28735762,0.27892391,82108.0,1792.31425944241
102,0.56159608,2.0500961,1.83810613,0.63647633,1.42182127,1.20646841,0.29238689,0.09073892,0.10229404,0.18669343,0.21105458,0.22341383,0.45601523,0.10767839,0.06126065,0.31315031,0.17733844,0.11623925,0.59110767,0.52520861,0.83229774,0.56658883,31948.0,1691.6022422205233
103,0.6954208,1.70286926,1.06215981,0.78507478,1.37252499,1.05549854,0.25206312,0.03149467,0.04500038,0.06631251,0.39460666,0.36791844,0.40763941,0.2811133,0.10030735,0.27096257,0.11735486,0.08228433,0.34990742,0.75125832,0.42540759,0.59414309,82163.0,1674.2765036471317
104,1.01251617,1.72529506,1.53451459,0.78329739,0.65334793,1.53193932,0.25977976,0.06799211,0.2889018,0.08085762,0.43431217,0.04649336,0.27341667,0.58484918,0.54692454,0.28606986,0.44362924,0.41988217,0.39880772,0.17438734,0.44914499,0.23296206,74586.0,1887.1407943950207
105,0.92735401,1.67748226,1.25114632,0.85368601,1.49369652,1.33257531,0.27666107,0.1332205,0.10507895,0.0952504,0.22795867,0.42803664,0.26140083,0.49926751,0.02195958,0.27567887,0.03971111,0.18836801,0.73127304,0.69091696,0.30194373,1.03444344,77303.0,1753.3149759701612
106,0.78249172,1.64014715,1.1460711,0.7301651,2.00373807,1.29016081,0.22200356,0.05215337,0.17060306,0.0271453,0.4368189,0.41594074,0.24643895,0.70702858,0.01335367,0.17693215,0.09818572,0.18739334,0.45127468,0.17836178,0.18421269,0.56767719,76364.0,1594.887348551388
107,0.9674313,2.02549356,1.85418972,0.92473734,1.68080258,1.12734732,0.25199391,0.08475438,0.05685305,0.14798556,0.16360686,0.42697268,0.36003683,0.26859136,0.05562223,0.17326132,0.18944696,0.06562292,0.26890356,0.26533432,0.20441657,0.69614604,75647.0,1631.8561235211846
108,0.86122084,2.11386452,1.14385781,0.75355383,2.01586178,1.76655903,0.21366316,0.02793057,0.06739111,0.17355556,0.28757526,0.15634763,0.34945695,0.38215576,0.08017838,0.26698014,0.09723089,0.16443164,0.28738939,0.29263962,0.41764553,0.77811555,77681.0,1644.3514092822988
109,0.94196089,2.0298312,1.84856585,0.90872382,1.57689777,1.35163728,0.18904024,0.31637697,0.0674045,0.10745203,0.51628569,0.68326796,0.42629041,0.35315636,0.09495622,0.2218815,0.27193612,0.42891941,0.2812391,0.38027451,0.60023797,0.38168822,67285.0,1895.2504448426428
110,0.67570629,2.00217844,1.74072475,1.74645819,2.40764203,2.77777193,0.15596115,0.0438554,0.2368168,0.16636115,0.14998056,0.26281934,0.29549111,0.17855284,0.1067927,0.31787714,0.10639277,0.09820166,1.0812703,0.75932424,0.81111976,0.43082745,931.0,1680.1953818392496
111,0.80180611,1.99476705,1.34828856,0.44027338,1.17226335,2.22490946,0.16028137,0.19917601,0.03499638,0.22235812,0.16991557,0.33172213,0.19654066,0.28030795,0.41552329,0.1774864,0.44795724,0.07188524,0.72004878,0.6222488,0.48681239,0.12974189,76281.0,1658.220660136211
112,0.5042676,1.58814811,1.24325118,0.79659064,1.32625445,1.00547361,0.29754881,0.09605295,0.03338183,0.22354939,0.49422613,0.14644584,0.34572967,0.43985156,0.11659604,0.20536837,0.29196565,0.02612935,0.44328579,0.28540267,0.71394747,0.23312298,76579.0,1713.9353647517592
113,0.72845096,1.20061829,1.13740651,0.86912898,0.74233782,1.1335561,0.33217526,0.09521786,0.30646719,0.39197293,0.63096787,0.42519173,0.40604065,0.22020727,0.1271485,0.30948374,0.42600137,0.02951175,0.42632585,0.31890466,0.78110047,0.41255869,76788.0,1971.5831989756557
114,0.75903643,1.74130383,1.45921072,0.62682832,1.85164936,1.41826645,0.3212524,0.15555477,0.05148379,0.08094662,0.49515536,0.43901353,0.48657518,0.55816092,0.04957773,0.15897707,0.23827913,0.13048311,0.10825312,0.40255058,0.36728407,0.65254866,77578.0,1670.6691470758556
115,0.57890632,2.12217933,1.91272945,0.78920347,1.79447087,1.37720319,0.28125634,0.10139011,0.05794481,0.07650078,0.64572133,0.24776208,0.57489566,0.58583054,0.0236936,0.20738792,0.14846552,0.08725487,0.55105757,0.19924525,0.46456615,0.54438283,75345.0,1641.702315881458
116,0.7524054,2.19834124,1.37438657,0.710868,2.12166929,2.02606951,0.19996118,0.0887221,0.07389106,0.01122204,0.48149275,0.14814324,0.58607723,0.15319432,0.03975752,0.16222145,0.26554969,0.24157303,0.47758486,0.13167204,0.49897873,0.74889082,74169.0,1631.02761050497
117,0.578452,2.52948833,2.54585218,0.57195028,1.24568647,2.27521249,0.24999979,0.03848257,0.16623997,0.13940059,0.21175161,0.38353005,0.15252116,0.0820351,0.2091507,0.50563375,0.34875248,0.33362497,0.18753029,0.44661066,0.532643,0.55260127,84812.0,1701.8727787229925
118,0.78329342,1.90046683,1.4795176,0.72991745,1.60105389,1.37037065,0.31650381,0.05047102,0.08206492,0.148809,0.31974183,0.23698415,0.44017822,0.32900321,0.07353964,0.20810851,0.16063965,0.26405769,0.49793803,0.72991787,0.72435608,0.49597313,76669.0,1732.164293237219
119,0.67556446,2.18281399,1.36890731,0.77847327,1.73941643,1.4157965,0.22006492,0.06586895,0.08713191,0.06545294,0.39905958,0.57929044,0.36339649,0.43482185,0.00549683,0.21140107,0.20126156,0.1714318,0.12250113,0.51170602,0.41345237,0.83487864,74556.0,1664.5100112376942
120,0.66305771,1.94170078,1.49334193,0.72842426,1.54373387,1.53406283,0.30633949,0.05798492,0.08053345,0.13361011,0.25226526,0.26989725,0.15260307,0.21985296,0.01573102,0.25998046,0.33836087,0.05017137,0.41039556,0.4398313,0.48818391,0.37715656,76210.0,1563.4074939820791
121,0.90648415,1.6854117,1.14684969,0.70248992,1.48640513,3.54351106,0.03519076,0.249948,0.05479689,0.10941328,0.25630885,0.27900408,0.45213126,0.77339659,0.51833526,0.27937486,0.15702302,0.4135562,0.63752061,0.50921537,0.79980671,0.49169968,11244.0,1773.9007652019948
122,0.8233231,2.47524156,1.63166924,0.79899633,1.01878736,1.35707925,0.15820286,0.16197106,0.04990343,0.08637767,0.2587045,0.24324448,0.52253886,0.54445983,0.24839865,0.3119559,0.27013014,0.09104879,0.61835725,0.47855318,0.29439762,0.25971795,78040.0,1785.2302892420123
123,0.98410959,1.83451655,1.35652839,0.78329229,0.97068317,0.92226544,0.23309979,0.1874775,0.00998336,0.15174655,0.45378854,0.67558925,0.30156703,0.47672409,0.41689596,0.19360476,0.20343857,0.07139678,0.28846105,0.12235011,0.53766021,0.65852866,77502.0,1880.466610813628
124,1.19481164,2.07114299,1.23993016,0.65262254,1.90006993,1.56625306,0.07833616,0.12037337,0.25163757,0.06812166,0.31262054,0.27974096,0.49761919,0.53735041,0.24442588,0.19246995,0.005219,0.13836664,0.59612241,0.70689944,0.3531177,0.67274634,38535.0,1633.2187315543968
125,0.26314795,-0.04878457,1.82115155,0.28204295,1.31694247,3.2983259,0.45933206,0.40616055,0.10905121,0.50311615,0.51563532,0.27225331,0.47331047,0.21642057,0.28219427,0.45104623,0.39996417,0.22802307,0.51000721,0.44850011,0.50079769,0.85309761,47155.0,1742.7537250610796
126,0.78219889,1.50696578,1.56992327,0.63325837,1.92768436,2.95322427,0.35962173,0.0595318,0.22441737,0.06039246,0.31266134,0.1979504,0.19494384,0.19841879,0.010106,0.31900239,0.14727929,0.20304071,0.35335619,0.53087983,0.47573824,1.69738778,46488.0,1621.9991028272568
127,0.55209926,1.88593573,1.42003513,0.46738583,1.52084821,1.92391857,0.25591109,0.04169522,0.0918562,0.1121807,0.11287096,0.20095725,0.42951799,0.27735789,0.07691855,0.42242059,0.22654824,0.0790009,0.18347625,0.15719529,0.23252969,0.49390662,34325.0,1542.674657295399
128,0.75023463,1.95857435,1.14920477,0.65263432,1.47308891,1.26771543,0.26297534,0.08827527,0.02099711,0.11888194,0.30374883,0.1660702,0.26388925,0.11515653,0.02672952,0.23587939,0.27869713,0.10022381,0.71057033,0.3555112,0.2529585,0.57741843,75535.0,1600.8809345478646
129,0.50009435,1.79930772,3.35906211,0.59336513,1.82998492,2.08669776,0.42181947,0.2430569,0.39634869,0.29635671,0.71252627,0.11936741,0.42501088,0.25431879,0.21853891,0.28110996,0.00866028,0.18751856,0.47100888,0.74008866,0.21623106,0.68858951,12657.0,1773.009823928389
130,0.96985892,1.53862998,1.08702181,0.61119296,1.09966351,2.38966819,0.1824315,0.2701255,0.03018981,0.08526128,0.70546438,0.24724851,0.68897131,0.31915053,0.42488177,0.01015084,0.2166494,0.43937116,0.91938452,0.29773409,0.36467287,0.43361072,13424.0,1786.724149200404
131,0.82937983,1.6962983,1.27406963,0.71789314,1.28604163,1.02050564,0.08780814,0.25742031,0.04452177,0.06367001,0.45867977,0.48236539,0.21311104,0.46549567,0.26198453,0.05723973,0.24268259,0.12005008,0.25250267,0.39575067,0.78445555,0.26150956,79116.0,1663.007742556327
132,0.68872412,1.49061273,1.11706008,0.80211877,2.386991,1.76418418,0.3301781,0.09164904,0.04923317,0.06544922,0.07604348,0.27805595,0.1140559,0.25952236,0.02952309,0.20168576,0.04914114,0.24159188,0.48332101,0.40590226,0.48415159,0.44935077,38793.0,1533.926020275713
133,1.15560854,2.00194504,1.3345048,0.97891658,1.07583031,1.51194324,0.24448123,0.132213,0.07577127,0.03020861,0.32540647,0.27792345,0.40265218,0.20741436,0.02551967,0.22830385,0.41597241,0.35230842,0.63042461,0.24742068,0.60259811,0.51688582,36483.0,1729.2303187618763
134,0.51219106,1.81671381,1.5227838,0.76999319,1.27606949,0.95090718,0.32226064,0.09702354,0.11972668,0.12273046,0.48391309,0.04325687,0.48186475,0.33068546,0.02083613,0.15567063,0.29246381,0.13387703,0.43989073,0.4386476,0.49793766,0.15684626,23430.0,1649.1495099731417
135,0.64588245,1.61048903,1.24091327,0.52653608,1.21009807,0.81415282,0.21725777,0.05967686,0.1978998,0.10080762,0.47431396,0.57688503,0.41189217,0.19322334,0.22072496,0.42844424,0.04826793,0.30679788,0.46582055,0.51721743,0.3811536,0.24228986,22971.0,1874.6740320353435
136,0.75659043,2.19827519,1.98261939,0.82250341,1.37674515,1.42439853,0.25761902,0.12712352,0.01338422,0.21262367,0.41665092,0.25807216,0.06589248,0.34306887,0.07357335,0.27190927,0.35708425,0.07610309,0.20046819,0.51720353,0.52499156,0.71147223,20035.0,1629.400608851678
137,0.43630336,1.5606363,1.55992348,0.65045331,1.44172237,1.09179611,0.2722145,0.01193419,0.09000559,0.22234378,0.2451959,0.73765301,0.6154841,0.43394762,0.0812279,0.33486674,0.23733981,0.1142838,0.06842658,0.18341852,0.27845439,0.1569687,41349.0,1618.4563204044614
138,0.55956468,1.01570924,1.29226594,0.81392279,1.79963979,1.60635909,0.37184911,0.07912664,0.18498269,0.2674611,0.47686814,0.4853935,0.58245307,0.47305167,0.07258546,0.27039822,0.11457697,0.21650129,0.36283009,0.33884485,0.30321257,0.34961394,28871.0,1761.7537029089897
139,0.72091087,1.64275938,1.05586,0.8337047,2.3829287,2.11060161,0.24244589,0.02943053,0.0582466,0.18417726,0.16044143,0.41272655,0.27853768,0.21495929,0.02657224,0.12396203,0.25852531,0.03678216,0.25127192,0.75176543,0.42862052,0.20168015,42936.0,1540.1221069088003
140,0.51857753,1.61220738,1.23509483,0.7225863,1.22526312,1.40786049,0.29061204,0.02332093,0.15299179,0.10728874,0.31681998,0.13242534,0.26736966,0.58231968,0.08759186,0.41810974,0.39809677,0.11452896,0.46965838,0.30403827,0.33438735,0.29814728,19703.0,1703.4949193453092
141,0.79421356,1.72237432,1.51755275,0.47896776,1.82148975,1.97263778,0.32569367,0.03563153,0.04640599,0.07253429,0.59504198,0.72247168,0.45430794,0.76549345,0.02965633,0.29800613,0.26333624,0.25524865,0.82498058,0.29294425,0.27090709,0.62034505,43810.0,1716.986353550422
142,0.79398326,2.16272614,1.65919164,0.77129972,2.00240823,1.49430953,0.2304234,0.04973194,0.12629646,0.05830882,0.23560465,0.25681274,0.61153714,0.42671487,0.02588786,0.2032809,0.13017337,0.18165757,0.83211001,0.17653136,0.75504219,0.44918769,27537.0,1630.673736818855
143,0.72429955,1.79329984,1.06897952,0.79413901,1.91291852,1.41041721,0.21668583,0.02606314,0.02924344,0.15750951,0.30944023,0.44218078,0.57500485,0.45541364,0.03279202,0.08764178,0.30386673,0.05382946,0.38568774,0.21234185,0.25141187,0.55173633,50821.0,1626.1749488890052
144,0.85087087,1.77110554,1.34642495,0.79579674,0.94441616,1.18756689,0.30579856,0.06125403,0.20339952,0.01838495,0.78329303,0.74883101,0.51693367,0.37049822,0.05346209,0.44611333,0.39723192,0.16547223,0.30768743,0.25874134,0.55949673,0.46961059,24564.0,1867.4357262729995
145,0.43184754,1.44863181,1.60155035,0.71843191,1.96564184,1.4146895,0.24436714,0.03167888,0.29202627,0.16203269,0.73690867,0.56040834,0.60691702,0.19716782,0.17652688,0.18575983,0.04907427,0.06593004,0.42694613,0.4658752,0.18775868,0.72070818,26781.0,1733.995913058148
146,0.68671727,1.3647128,1.7016436,0.74991708,0.94427194,1.37951031,0.40489911,0.20089739,0.03399818,0.20581468,0.25616696,0.26918288,0.3361131,0.27630716,0.28041258,0.4814074,0.43484004,0.28733262,0.4170001,0.53735265,0.27859907,0.33395398,22988.0,1882.8482091837136
147,0.49627913,2.07609038,1.53802247,0.49773312,1.71393172,1.61647948,0.23694548,0.07083497,0.07939837,0.10300021,0.34710675,0.4994681,0.52612585,0.25133075,0.00966744,0.33691874,0.23834746,0.02889368,0.28544497,0.40129847,0.44805759,0.24218128,14948.0,1581.8660375637617
148,0.43317903,2.35481041,2.9875686,0.17643373,0.94585361,2.02744397,0.0950398,0.16330811,0.43741629,0.16678699,0.30480128,0.40678272,0.49022762,0.1849443,0.5491119,0.42241901,0.09187804,0.69594549,0.420557,0.17004242,0.07719542,0.33301544,40687.0,1705.1507617022476
149,0.42399309,1.68416221,1.1892937,0.700623,1.67258971,1.60967934,0.13071559,0.26195003,0.06221251,0.05830515,0.42181957,0.39179791,0.24364353,0.47086793,0.11868002,0.01137614,0.30651315,0.1928128,0.43905805,0.75905725,0.62014059,0.52616926,21426.0,1655.735501173681
150,0.68233339,1.94426884,1.72898634,0.621859,1.74967722,1.67856892,0.26076062,0.08332303,0.12192874,0.07067341,0.43503414,0.2077857,0.26212881,0.34498978,0.00370827,0.30212639,0.10575099,0.19082513,0.38540262,0.18411872,0.28463418,0.51924654,42254.0,1564.9786861948835
151,0.61130402,0.86864521,1.57899507,0.24027011,-0.47121749,3.90963883,0.4900672,0.04670211,0.42077681,0.40201134,0.5635967,0.80651033,0.41786074,0.4735685,0.38204762,0.41752524,0.35794664,0.64420881,0.26748153,0.56537069,0.51641119,0.59011011,48613.0,1880.2482587537747
152,0.71678064,1.98800354,1.47364034,0.78807214,1.51972167,1.14171798,0.25919471,0.03951095,0.05254357,0.08763448,0.33840698,0.16946907,0.53360406,0.2595631,0.03917299,0.23363066,0.17160809,0.19801607,0.14569358,0.41649037,0.47811383,0.31563293,21272.0,1565.3530154224554
153,0.45045481,1.73336415,1.67128544,0.97439413,1.88179551,1.66519992,0.28153772,0.10634559,0.02158162,0.20799552,0.17968837,0.25937673,0.19933119,0.16627521,0.02369425,0.24650597,0.20687547,0.08397499,0.15800411,0.1672308,0.20655501,0.15920454,37401.0,1493.132036895905
154,0.32745181,1.32355918,1.89421902,0.80477004,1.38189992,1.51261592,0.45534979,0.12154711,0.12401925,0.10992061,0.71621072,0.79574448,0.3062682,0.42628886,0.12663589,0.31652371,0.20416622,0.32580629,0.5163825,0.83396115,0.18863037,0.54984526,17223.0,1866.748237059346
155,0.29257823,1.99827831,2.29684265,0.70099011,1.76976047,1.70640071,0.27608938,0.06709941,0.12707458,0.33695008,0.3812846,0.52234185,0.32041965,0.40437596,0.0630624,0.3553473,0.14294242,0.05883314,0.65997991,0.67314842,0.4123967,0.24268293,23167.0,1627.870067262792
156,0.4832291,1.68867164,1.29452821,0.78329303,1.78850109,0.79548912,0.29932129,0.14679602,0.17011643,0.16828044,0.18607066,0.10782947,0.10283819,0.50006672,0.13792065,0.17099834,0.21056181,0.05693324,0.12417099,0.45290534,0.50571222,0.62505964,19175.0,1863.4527782050625
157,0.75010036,1.64326839,1.83556804,0.52089873,1.85698047,1.57347788,0.27852748,0.01467312,0.1037013,0.21699253,0.58780266,0.53814743,0.6921914,0.19755168,0.17602011,0.23448542,0.18698107,0.01150185,0.53544666,0.16911428,0.58185296,0.84826955,15291.0,1704.9747190722755
158,0.69233437,2.26114965,1.66300591,0.97500556,1.80924118,1.97036246,0.28408883,0.06179659,0.03632178,0.05540244,0.39424014,0.40451095,0.22494017,0.29929511,0.20264146,0.28516209,0.3465428,0.09591916,0.19343436,0.37265224,0.41629452,0.6689347,35193.0,1689.691523773903
159,0.46373492,1.61159439,1.55899819,0.80312132,2.04503459,1.59277439,0.34058485,0.05726819,0.08752346,0.08390001,0.71277008,0.50140416,0.5398697,0.11095686,0.0588664,0.18649512,0.12562545,0.19841522,0.47244415,0.2551372,0.28141357,0.28609858,24895.0,1608.5097612409618
160,0.43159469,1.32483625,1.7372165,0.91200689,2.0914696,1.2401866,0.38279793,0.14616597,0.0478282,0.24924323,0.72844708,0.52042758,0.34800231,0.76498337,0.08900322,0.17928724,0.16775102,0.09033239,0.25315276,0.3800508,0.29863979,0.47087621,24616.0,1728.4588043812191
161,0.45581291,1.30956363,1.76379602,1.50377154,2.19461208,1.14638711,0.2947462,0.07662235,0.23341876,0.21348714,0.34524317,0.61748601,0.82624406,0.35303674,0.03953757,0.27309214,0.15148929,0.09883459,0.20033469,0.57221408,0.28102381,0.40211417,18021.0,1756.4056666481515
162,0.7370395,1.32623795,1.35045349,0.71200323,2.22925622,1.55822822,0.32387108,0.11431607,0.474562,0.13006784,0.19927724,0.29685556,0.37024824,0.45556718,0.12088008,0.26183138,0.04445181,0.06987544,0.69591253,0.80478462,0.59103417,0.1853359,18186.0,1843.678453668663
163,0.47843588,2.04585512,1.37542128,0.78034514,1.49984102,1.4574406,0.25524661,0.07529049,0.12550796,0.04007666,0.05031792,0.06415098,0.35116916,0.29861535,0.03294478,0.29638489,0.10614402,0.25754222,0.23828556,0.54445038,0.20536761,0.78207429,24533.0,1606.654197480468
164,0.56398634,1.91011103,1.44826084,0.82261633,1.78355006,1.34679101,0.25177166,0.15975363,0.02970091,0.01458465,0.32160184,0.43137028,0.47596338,0.62201364,0.00673287,0.14834428,0.1858652,0.20757723,0.1114127,0.3104834,0.36171646,1.0079681,14186.0,1610.720373726785
165,0.67376497,1.31383963,1.41940122,0.47083379,1.59673744,1.70146309,0.45381135,0.11067989,0.36428513,0.38103546,0.07679259,0.16270053,0.08500278,0.03830749,0.39555852,0.25734772,0.25662294,0.08902938,0.43026154,0.49607869,0.28643119,0.61489014,25065.0,1920.2842733948517
166,0.77911977,2.25990439,1.45966278,0.78929768,2.16213961,1.83093423,0.26403702,0.11160081,0.01889922,0.08170778,0.28862824,0.44343595,0.41512015,0.22795705,0.03468276,0.2786088,0.24443009,0.07361205,0.21012863,0.16425782,0.1572579,0.41058765,22985.0,1553.63497768838
167,0.83733153,1.98607698,1.97333884,0.85188754,1.86822234,1.28024827,0.34069062,0.08434005,0.11238481,0.10097513,0.50388252,0.53340412,0.63565843,0.10646825,0.01793702,0.2599412,0.13303091,0.08281982,0.1678899,0.44860376,0.33301273,0.29313324,23834.0,1592.6588918861069
168,0.67556393,2.22092066,2.55988196,1.09456085,1.19227285,1.00108947,0.29006645,0.03136117,0.26018776,0.05650836,0.46770355,0.87008467,0.35704369,0.37077115,0.17794612,0.42410238,0.13828853,0.21259256,0.32976615,0.21308448,0.84582929,0.30094852,58133.0,1805.1269064266637
169,0.54478403,1.99087436,1.33641084,0.8553987,1.5565235,1.15370341,0.26429102,0.0733787,0.09319108,0.0200665,0.43444815,0.27171566,0.43450066,0.15849113,0.04053759,0.24828609,0.11083519,0.1837312,0.25857434,0.23047248,0.16479618,0.32889701,38970.0,1545.3563431394716
170,0.6132041,1.4947723,1.84526842,0.81045896,1.48724642,1.43881589,0.28375165,0.05349788,0.23174724,0.25555323,0.03437495,0.39966303,0.31414964,0.3259856,0.10532406,0.35483327,0.05635037,0.19036009,0.48342808,0.46108785,0.16178483,0.66344689,59262.0,1660.2691202427316
